,Regiao,Estado,UF,Governador,TotalCasos,TotalObitos
0,Norte,Acre,AC,GLADSON DE LIMA CAMELI,27885,657
1,Nordeste,Alagoas,AL,JOSE RENAN VASCONCELOS CALHEIROS FILHO,86393,2062
2,Norte,Amapá,AP,ANTONIO WALDEZ GÓES DA SILVA,47935,704
3,Norte,Amazonas,AM,WILSON MIRANDA LIMA,136708,4031
4,Nordeste,Bahia,BA,RUI COSTA DOS SANTOS,306629,6648
5,Nordeste,Ceará,CE,CAMILO SOBREIRA DE SANTANA,239062,8921
6,Centro-Oeste,Distrito Federal,DF,IBANEIS ROCHA BARROS JUNIOR,190505,3203
7,Sudeste,Espírito Santo,ES,JOSE RENATO CASAGRANDE,129796,3524
8,Centro-Oeste,Goiás,GO,RONALDO RAMOS CAIADO,202754,4529
9,Nordeste,Maranhão,MA,FLÁVIO DINO DE CASTRO E COSTA,172176,3735
10,Centro-Oeste,Mato Grosso,MT,MAURO MENDES FERREIRA,121145,3372
11,Centro-Oeste,Mato Grosso do Sul,MS,REINALDO AZAMBUJA SILVA,68325,1278
12,Sudeste,Minas Gerais,MG,ROMEU ZEMA NETO,290137,7240
13,Norte,Pará,PA,HELDER ZAHLUTH BARBALHO,228068,6551
14,Nordeste,Paraíba,PB,JOÃO AZEVEDO LINS FILHO,119987,2804
15,Sul,Paraná,PR,CARLOS ROBERTO MASSA JUNIOR,175982,4378
16,Nordeste,Pernambuco,PE,PAULO HENRIQUE SARAIVA CÂMARA,145096,8190
17,Nordeste,Piauí,PI,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,94733,2101
18,Sudeste,Rio de Janeiro,RJ,WILSON JOSÉ WITZEL,262006,18291
19,Nordeste,Rio Grande do Norte,RN,MARIA DE FATIMA BEZERRA,68765,2377
20,Sul,Rio Grande do Sul,RS,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,185778,4648
21,Norte,Rondônia,RO,MARCOS JOSE ROCHA DOS SANTOS,65386,1340
22,Norte,Roraima,RR,ANTONIO OLIVERIO GARCIA DE ALMEIDA,49968,637
23,Sul,Santa Catarina,SC,CARLOS MOISÉS DA SILVA,213066,2765
24,Sudeste,São Paulo,SP,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,973142,35125
25,Nordeste,Sergipe,SE,BELIVALDO CHAGAS SILVA,77172,2025
26,Norte,Tocantins,TO,MAURO CARLESSE,66865,922
27,BR,--,BR,--,4745464,142058
